Source MAC,Destination MAC,Protocol,Port Dst,Size,Time,Access
b6:26:be:4e:91:21,1c:5f:2b:ff:34:5c,DATA,Unknown,71,2024-12-21T17:14:59.270320,Trusted
1c:5f:2b:ff:34:5c,b6:26:be:4e:91:21,DATA,Unknown,67,2024-12-21T17:14:59.303624,Trusted
b6:26:be:4e:91:21,01:00:5e:7f:ff:fa,SSDP,Unknown,213,2024-12-21T17:14:59.317619,Trusted
b6:26:be:4e:91:21,01:00:5e:7f:ff:fa,SSDP,Unknown,213,2024-12-21T17:15:00.318806,Trusted
b6:26:be:4e:91:21,1c:5f:2b:ff:34:5c,DATA,Unknown,71,2024-12-21T17:15:00.658455,Trusted
1c:5f:2b:ff:34:5c,b6:26:be:4e:91:21,DATA,Unknown,68,2024-12-21T17:15:00.695362,Trusted
b6:26:be:4e:91:21,1c:5f:2b:ff:34:5c,DATA,Unknown,71,2024-12-21T17:15:00.909045,Trusted
1c:5f:2b:ff:34:5c,b6:26:be:4e:91:21,DATA,Unknown,67,2024-12-21T17:15:00.936006,Trusted
b6:26:be:4e:91:21,01:00:5e:7f:ff:fa,SSDP,Unknown,213,2024-12-21T17:15:01.319377,Trusted
1c:5f:2b:ff:34:5c,b6:26:be:4e:91:21,TLS,Unknown,1446,2024-12-21T17:15:02.300567,Trusted
1c:5f:2b:ff:34:5c,b6:26:be:4e:91:21,DATA,Unknown,1274,2024-12-21T17:15:03.167788,Trusted
1c:5f:2b:ff:34:5c,b6:26:be:4e:91:21,DATA,Unknown,1274,2024-12-21T17:15:03.167790,Trusted
1c:5f:2b:ff:34:5c,b6:26:be:4e:91:21,DATA,Unknown,1274,2024-12-21T17:15:03.167791,Trusted
1c:5f:2b:ff:34:5c,b6:26:be:4e:91:21,DATA,Unknown,1274,2024-12-21T17:15:03.167792,Trusted
1c:5f:2b:ff:34:5c,b6:26:be:4e:91:21,DATA,Unknown,1274,2024-12-21T17:15:03.167793,Trusted
1c:5f:2b:ff:34:5c,b6:26:be:4e:91:21,DATA,Unknown,1274,2024-12-21T17:15:03.167794,Trusted
b6:26:be:4e:91:21,1c:5f:2b:ff:34:5c,DATA,Unknown,80,2024-12-21T17:15:03.167912,Trusted
1c:5f:2b:ff:34:5c,b6:26:be:4e:91:21,DATA,Unknown,1274,2024-12-21T17:15:03.168961,Trusted
1c:5f:2b:ff:34:5c,b6:26:be:4e:91:21,DATA,Unknown,1274,2024-12-21T17:15:03.168962,Trusted
1c:5f:2b:ff:34:5c,b6:26:be:4e:91:21,DATA,Unknown,1274,2024-12-21T17:15:03.168963,Trusted
1c:5f:2b:ff:34:5c,b6:26:be:4e:91:21,DATA,Unknown,68,2024-12-21T17:15:43.609858,Trusted
1c:5f:2b:ff:34:5c,b6:26:be:4e:91:21,DATA,Unknown,67,2024-12-21T17:15:44.533919,Trusted
b6:26:be:4e:91:21,1c:5f:2b:ff:34:5c,DATA,Unknown,71,2024-12-21T17:15:53.823393,Trusted
1c:5f:2b:ff:34:5c,b6:26:be:4e:91:21,TCP,Unknown,66,2024-12-21T17:16:17.156448,Trusted
1c:5f:2b:ff:34:5c,b6:26:be:4e:91:21,TCP,Unknown,66,2024-12-21T17:16:17.156451,Trusted
1c:5f:2b:ff:34:5c,b6:26:be:4e:91:21,TCP,Unknown,66,2024-12-21T17:16:17.156452,Trusted
b6:26:be:4e:91:21,1c:5f:2b:ff:34:5c,TLS,Unknown,90,2024-12-21T17:16:17.199922,Trusted
b6:26:be:4e:91:21,1c:5f:2b:ff:34:5c,TCP,Unknown,66,2024-12-21T17:16:17.200415,Trusted
1c:5f:2b:ff:34:5c,b6:26:be:4e:91:21,TLS,Unknown,90,2024-12-21T17:16:17.281143,Trusted
1c:5f:2b:ff:34:5c,b6:26:be:4e:91:21,TCP,Unknown,66,2024-12-21T17:16:17.281145,Trusted
1c:5f:2b:ff:34:5c,b6:26:be:4e:91:21,TCP,Unknown,66,2024-12-21T17:16:17.281147,Trusted
b6:26:be:4e:91:21,1c:5f:2b:ff:34:5c,TCP,Unknown,54,2024-12-21T17:16:17.281353,Trusted
b6:26:be:4e:91:21,1c:5f:2b:ff:34:5c,TCP,Unknown,54,2024-12-21T17:16:17.281356,Trusted
b6:26:be:4e:91:21,1c:5f:2b:ff:34:5c,DATA,Unknown,75,2024-12-21T17:16:26.529152,Trusted
1c:5f:2b:ff:34:5c,b6:26:be:4e:91:21,DATA,Unknown,66,2024-12-21T17:16:26.537907,Trusted
1c:5f:2b:ff:34:5c,b6:26:be:4e:91:21,DATA,Unknown,97,2024-12-21T17:16:26.549063,Trusted
b6:26:be:4e:91:21,1c:5f:2b:ff:34:5c,DATA,Unknown,76,2024-12-21T17:16:26.549161,Trusted
1c:5f:2b:ff:34:5c,b6:26:be:4e:91:21,DATA,Unknown,601,2024-12-21T17:16:26.575609,Trusted
1c:5f:2b:ff:34:5c,b6:26:be:4e:91:21,DATA,Unknown,1285,2024-12-21T17:16:26.575612,Trusted
b6:26:be:4e:91:21,1c:5f:2b:ff:34:5c,DATA,Unknown,76,2024-12-21T17:16:26.575841,Trusted
b6:26:be:4e:91:21,1c:5f:2b:ff:34:5c,DATA,Unknown,76,2024-12-21T17:16:26.575881,Trusted
1c:5f:2b:ff:34:5c,b6:26:be:4e:91:21,DATA,Unknown,1292,2024-12-21T17:16:26.578013,Trusted
1c:5f:2b:ff:34:5c,b6:26:be:4e:91:21,DATA,Unknown,1292,2024-12-21T17:16:26.578015,Trusted
b6:26:be:4e:91:21,1c:5f:2b:ff:34:5c,DATA,Unknown,71,2024-12-21T17:16:29.223729,Trusted
1c:5f:2b:ff:34:5c,b6:26:be:4e:91:21,DATA,Unknown,67,2024-12-21T17:16:29.255752,Trusted
1c:5f:2b:ff:34:5c,b6:26:be:4e:91:21,NBNS,Unknown,92,2024-12-21T17:16:29.752508,Trusted
b6:26:be:4e:91:21,1c:5f:2b:ff:34:5c,NBNS,Unknown,163,2024-12-21T17:16:29.752904,Trusted
b6:26:be:4e:91:21,1c:5f:2b:ff:34:5c,DATA,Unknown,1159,2024-12-21T17:16:29.830403,Trusted
1c:5f:2b:ff:34:5c,b6:26:be:4e:91:21,DATA,Unknown,75,2024-12-21T17:16:29.858720,Trusted
b6:26:be:4e:91:21,1c:5f:2b:ff:34:5c,DATA,Unknown,76,2024-12-21T17:16:29.865333,Trusted
1c:5f:2b:ff:34:5c,b6:26:be:4e:91:21,DATA,Unknown,201,2024-12-21T17:16:29.892280,Trusted
b6:26:be:4e:91:21,1c:5f:2b:ff:34:5c,DATA,Unknown,75,2024-12-21T17:16:29.898721,Trusted
1c:5f:2b:ff:34:5c,b6:26:be:4e:91:21,DATA,Unknown,740,2024-12-21T17:16:29.985511,Trusted
b6:26:be:4e:91:21,1c:5f:2b:ff:34:5c,TCP,Unknown,78,2024-12-21T17:18:15.828170,Trusted
b6:26:be:4e:91:21,1c:5f:2b:ff:34:5c,TLS,Unknown,105,2024-12-21T17:18:15.997894,Trusted
b6:26:be:4e:91:21,1c:5f:2b:ff:34:5c,TLS,Unknown,90,2024-12-21T17:18:15.998178,Trusted
b6:26:be:4e:91:21,1c:5f:2b:ff:34:5c,TCP,Unknown,66,2024-12-21T17:18:15.998711,Trusted
b6:26:be:4e:91:21,1c:5f:2b:ff:34:5c,TCP,Unknown,78,2024-12-21T17:18:16.083435,Trusted
1c:5f:2b:ff:34:5c,b6:26:be:4e:91:21,TCP,Unknown,74,2024-12-21T17:18:16.083675,Trusted
b6:26:be:4e:91:21,1c:5f:2b:ff:34:5c,TCP,Unknown,66,2024-12-21T17:18:16.083745,Trusted
b6:26:be:4e:91:21,1c:5f:2b:ff:34:5c,TLS,Unknown,1494,2024-12-21T17:18:16.083982,Trusted
b6:26:be:4e:91:21,1c:5f:2b:ff:34:5c,TLS,Unknown,539,2024-12-21T17:18:16.083986,Trusted
1c:5f:2b:ff:34:5c,b6:26:be:4e:91:21,TCP,Unknown,66,2024-12-21T17:18:16.269974,Trusted
b6:26:be:4e:91:21,1c:5f:2b:ff:34:5c,TCP,Unknown,78,2024-12-21T17:19:45.833702,Trusted
1c:5f:2b:ff:34:5c,b6:26:be:4e:91:21,TCP,Unknown,74,2024-12-21T17:19:45.855968,Trusted
b6:26:be:4e:91:21,1c:5f:2b:ff:34:5c,TCP,Unknown,66,2024-12-21T17:19:45.856080,Trusted
b6:26:be:4e:91:21,1c:5f:2b:ff:34:5c,TLS,Unknown,1494,2024-12-21T17:19:45.856262,Trusted
b6:26:be:4e:91:21,1c:5f:2b:ff:34:5c,TLS,Unknown,475,2024-12-21T17:19:45.856268,Trusted
1c:5f:2b:ff:34:5c,b6:26:be:4e:91:21,TCP,Unknown,66,2024-12-21T17:19:45.862016,Trusted
1c:5f:2b:ff:34:5c,b6:26:be:4e:91:21,TCP,Unknown,66,2024-12-21T17:19:45.862017,Trusted
1c:5f:2b:ff:34:5c,b6:26:be:4e:91:21,TCP,Unknown,66,2024-12-21T17:19:45.862019,Trusted
b6:26:be:4e:91:21,1c:5f:2b:ff:34:5c,TCP,Unknown,66,2024-12-21T17:19:45.862178,Trusted
1c:5f:2b:ff:34:5c,b6:26:be:4e:91:21,TCP,Unknown,74,2024-12-21T17:19:46.160419,Trusted
