Source MAC,Destination MAC,Protocol,Port Dst,Size,Time,Access
b6:26:be:4e:91:21,1c:5f:2b:ff:34:5c,TLS,443,69,2024-12-27T20:05:30.757883,Trusted
1c:5f:2b:ff:34:5c,b6:26:be:4e:91:21,DATA,60677,92,2024-12-27T20:05:30.898318,Trusted
b6:26:be:4e:91:21,1c:5f:2b:ff:34:5c,DATA,443,88,2024-12-27T20:05:30.903859,Trusted
1c:5f:2b:ff:34:5c,b6:26:be:4e:91:21,DATA,60677,66,2024-12-27T20:05:30.911765,Trusted
b6:26:be:4e:91:21,1c:5f:2b:ff:34:5c,QUIC,443,1292,2024-12-27T20:05:32.779497,Trusted
b6:26:be:4e:91:21,1c:5f:2b:ff:34:5c,DATA,443,83,2024-12-27T20:05:32.787177,Trusted
1c:5f:2b:ff:34:5c,b6:26:be:4e:91:21,DATA,60677,66,2024-12-27T20:05:32.793329,Trusted
1c:5f:2b:ff:34:5c,b6:26:be:4e:91:21,QUIC,58787,1292,2024-12-27T20:05:32.797494,Trusted
1c:5f:2b:ff:34:5c,b6:26:be:4e:91:21,QUIC,58787,351,2024-12-27T20:05:32.797593,Trusted
1c:5f:2b:ff:34:5c,b6:26:be:4e:91:21,QUIC,58787,983,2024-12-27T20:05:32.797625,Trusted
1c:5f:2b:ff:34:5c,b6:26:be:4e:91:21,QUIC,58787,153,2024-12-27T20:05:32.797662,Trusted
1c:5f:2b:ff:34:5c,b6:26:be:4e:91:21,QUIC,58787,66,2024-12-27T20:05:32.797691,Trusted
b6:26:be:4e:91:21,1c:5f:2b:ff:34:5c,QUIC,443,120,2024-12-27T20:05:32.798111,Trusted
b6:26:be:4e:91:21,1c:5f:2b:ff:34:5c,QUIC,443,73,2024-12-27T20:05:32.798169,Trusted
1c:5f:2b:ff:34:5c,b6:26:be:4e:91:21,DATA,60677,105,2024-12-27T20:05:34.695180,Trusted
1c:5f:2b:ff:34:5c,b6:26:be:4e:91:21,DATA,58787,109,2024-12-27T20:05:34.696805,Trusted
1c:5f:2b:ff:34:5c,b6:26:be:4e:91:21,DATA,58787,63,2024-12-27T20:05:34.696899,Trusted
b6:26:be:4e:91:21,1c:5f:2b:ff:34:5c,DATA,443,87,2024-12-27T20:05:34.697150,Trusted
b6:26:be:4e:91:21,1c:5f:2b:ff:34:5c,DATA,443,77,2024-12-27T20:05:34.697754,Trusted
b6:26:be:4e:91:21,1c:5f:2b:ff:34:5c,DATA,443,389,2024-12-27T20:05:34.704213,Trusted
1c:5f:2b:ff:34:5c,b6:26:be:4e:91:21,DATA,52007,75,2024-12-27T20:05:34.729140,Trusted
b6:26:be:4e:91:21,1c:5f:2b:ff:34:5c,DATA,443,75,2024-12-27T20:05:34.734164,Trusted
b6:26:be:4e:91:21,1c:5f:2b:ff:34:5c,DNS,53,75,2024-12-27T20:05:34.744375,Trusted
b6:26:be:4e:91:21,1c:5f:2b:ff:34:5c,DNS,53,75,2024-12-27T20:05:34.744476,Trusted
1c:5f:2b:ff:34:5c,b6:26:be:4e:91:21,TLS,50710,128,2024-12-27T20:05:37.100547,Trusted
b6:26:be:4e:91:21,1c:5f:2b:ff:34:5c,TCP,443,66,2024-12-27T20:05:37.101207,Trusted
b6:26:be:4e:91:21,1c:5f:2b:ff:34:5c,TLS,443,97,2024-12-27T20:05:37.102019,Trusted
b6:26:be:4e:91:21,1c:5f:2b:ff:34:5c,TLS,443,101,2024-12-27T20:05:37.125634,Trusted
1c:5f:2b:ff:34:5c,b6:26:be:4e:91:21,DATA,60677,97,2024-12-27T20:05:37.176129,Trusted
b6:26:be:4e:91:21,1c:5f:2b:ff:34:5c,DATA,443,87,2024-12-27T20:05:37.177748,Trusted
b6:26:be:4e:91:21,1c:5f:2b:ff:34:5c,DATA,443,83,2024-12-27T20:05:37.220369,Trusted
1c:5f:2b:ff:34:5c,b6:26:be:4e:91:21,TLS,50711,1494,2024-12-27T20:05:37.226151,Trusted
